name,passk_overall,passk_advanced,passk_basic,passk_intermediate,success_rate_overall,success_rate_advanced,success_rate_basic,success_rate_intermediate,avg_attempts_overall,avg_attempts_advanced,avg_attempts_basic,avg_attempts_intermediate
deepseek-coder,0.6666666666666666,0.8666666666666666,0.6666666666666666,0.5416666666666666,0.47058823529411764,0.6,0.5,0.375,2,2,1,3
claude,0.8039215686274509,0.9333333333333332,0.9166666666666666,0.6666666666666666,0.6470588235294118,0.8,0.75,0.5,1,1,1,1
code-llama,0.7058823529411764,0.6666666666666666,0.9166666666666666,0.625,0.35294117647058826,0.2,0.75,0.25,1,4,1,1
verireason-qwen-coder,0.6274509803921569,0.6666666666666666,0.9166666666666666,0.4583333333333333,0.35294117647058826,0.4,0.75,0.125,1,2,1,1
openai,0.7647058823529411,0.9333333333333332,0.6666666666666666,0.7083333333333333,0.6470588235294118,0.8,0.5,0.625,1,1,1,1
verigen-finetuned,0.5294117647058822,0.6,0.41666666666666663,0.5416666666666666,0.17647058823529413,0.2,0.25,0.125,3,4,1,4
qwen-coder,0.4509803921568627,0.3333333333333333,0.9166666666666666,0.29166666666666663,0.35294117647058826,0.2,0.75,0.25,1,1,1,1
