name,passk_overall,passk_advanced,passk_basic,passk_intermediate,success_rate_overall,success_rate_advanced,success_rate_basic,success_rate_intermediate,avg_attempts_overall,avg_attempts_advanced,avg_attempts_basic,avg_attempts_intermediate,avg_tokens_per_sample,output_tokens_per_second,total_tokens_per_second
deepseek-coder,0.3372549019607843,0.47333333333333333,0.4083333333333333,0.21666666666666667,0.4117647058823529,0.6,0.5,0.25,1,1,1,1,287.6470588235294,137.8435294117647,143.4047058823529
claude,0.6019607843137256,0.5333333333333333,0.9166666666666666,0.4875,0.5294117647058824,0.4,0.75,0.5,1,1,1,1,174.01764705882354,41.78529411764706,45.09823529411765
code-llama,0.5431372549019607,0.4666666666666666,0.7666666666666667,0.47916666666666663,0.4117647058823529,0.4,0.75,0.25,1,2,2,1,186.1764705882353,134.65823529411762,147.53176470588235
verireason-qwen-coder,0.488235294117647,0.37333333333333335,0.9166666666666666,0.3458333333333333,0.35294117647058826,0.4,0.75,0.125,2,4,1,1,231.35294117647058,148.9617647058824,156.90176470588236
openai,0.5764705882352942,0.5466666666666666,0.6666666666666666,0.5499999999999999,0.5294117647058824,0.6,0.5,0.5,1,2,1,1,151.38823529411764,239.8305882352941,261.38235294117646
qwen-coder,0.42745098039215684,0.3,0.9166666666666666,0.2625,0.35294117647058826,0.2,0.75,0.25,1,2,1,1,167.1764705882353,146.05764705882353,162.66823529411764
